#   N_BLOCK:  ACCEPTANCE:
           1    0.517408
           2    0.517509
           3    0.517441
           4    0.517414
           5    0.517451
           6    0.517489
           7    0.517421
           8    0.517355
           9    0.517269
          10    0.517349
          11    0.517316
          12    0.517336
          13    0.517282
          14    0.517295
          15    0.517279
          16    0.517264
          17    0.517273
          18    0.517255
          19    0.517234
          20    0.517259
