#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   0.0015208   0.0015208           0
           2   0.0007084   0.0011146 0.000287227
           3   0.0001196 0.000782933 0.000331665
           4   0.0025572   0.0012265 0.000457645
           5  -0.0006068  0.00085984 0.000491521
           6    -0.00144 0.000476533 0.000538711
           7   0.0003192 0.000454057 0.000462221
           8   0.0004264   0.0004506 0.000404456
           9   0.0006608 0.000473956  0.00036019
          10    -0.00159  0.00026756 0.000378717
          11   0.0009856 0.000332836 0.000349868
          12  -0.0017516 0.000159133 0.000361268
          13  -0.0026084-5.37538e-05 0.000391207
          14   0.0004428-1.82857e-05 0.000364868
          15  -0.0042316-0.000299173  0.00043544
          16    0.001952-0.000158475 0.000430356
          17   -0.001376-0.000230094 0.000410957
          18  -0.0019124-0.000323556 0.000398612
          19  -0.0007156-0.000344189 0.000378166
          20   0.0019932 -0.00022732 0.000376884
