#   N_BLOCK:  ACCEPTANCE:
           1    0.510924
           2     0.51075
           3    0.510714
           4    0.510767
           5    0.510842
           6    0.510876
           7    0.510866
           8    0.510956
           9    0.511041
          10    0.510998
          11    0.510899
          12    0.510873
          13    0.510838
          14    0.510775
          15    0.510751
          16    0.510712
          17    0.510723
          18    0.510763
          19    0.510823
          20    0.510835
