#   N_BLOCK:  ACCEPTANCE:
           1    0.256693
           2    0.256439
           3    0.256702
           4    0.256831
           5    0.256775
           6     0.25667
           7    0.256654
           8    0.256478
           9    0.256675
          10    0.256531
          11    0.256436
          12    0.256335
          13    0.256312
          14    0.256229
          15    0.256218
          16    0.256284
          17    0.256331
          18    0.256412
          19    0.256468
          20    0.256381
