#   N_BLOCK:  ACCEPTANCE:
           1    0.426994
           2    0.426876
           3    0.426897
           4    0.426861
           5    0.426759
           6    0.426722
           7    0.426724
           8    0.426824
           9    0.426778
          10    0.426838
          11    0.426746
          12    0.426736
          13    0.426605
          14    0.426533
          15    0.426621
          16    0.426549
          17    0.426549
          18    0.426536
          19    0.426489
          20    0.426414
