#   N_BLOCK:  ACCEPTANCE:
           1    0.538034
           2    0.537844
           3    0.537639
           4    0.537679
           5     0.53776
           6    0.537675
           7    0.537577
           8    0.537608
           9    0.537635
          10    0.537682
          11    0.537707
          12    0.537729
          13    0.537633
          14    0.537632
          15    0.537623
          16    0.537604
          17    0.537584
          18    0.537615
          19    0.537671
          20    0.537684
