#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.003884   -0.003884           0
           2   0.0052148   0.0006654  0.00321691
           3   0.0018108   0.0010472  0.00216715
           4   -0.026854  -0.0059281  0.00625563
           5   0.0113452 -0.00247344  0.00588156
           6   0.0042168  -0.0013584  0.00500588
           7  -0.0115584 -0.00281554  0.00449784
           8   0.0094772 -0.00127895  0.00418987
           9  -0.0057256 -0.00177302  0.00375334
          10   0.0070184 -0.00089388  0.00347945
          11  -0.0041456 -0.00118949  0.00317567
          12  -0.0229128 -0.00299977  0.00338793
          13  -0.0142676 -0.00386652   0.0032363
          14  -0.0107692 -0.00435957  0.00304246
          15   0.0005464 -0.00403251  0.00285715
          16   -0.001718 -0.00388785  0.00268224
          17  -0.0254312 -0.00515511  0.00280791
          18   0.0165616 -0.00394862  0.00289955
          19   0.0169772 -0.00284726   0.0029487
          20   0.0094932 -0.00223024   0.0028651
