#   N_BLOCK:  ACCEPTANCE:
           1    0.088866
           2   0.0891226
           3   0.0893984
           4   0.0893536
           5   0.0892997
           6   0.0891114
           7   0.0891029
           8   0.0893912
           9   0.0897025
          10   0.0898514
          11   0.0900733
          12   0.0902695
          13   0.0901597
          14   0.0898968
          15   0.0898979
          16   0.0898993
          17    0.089912
          18   0.0898867
          19   0.0898797
          20   0.0898526
