#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.306356    0.306356           0
           2    0.308807    0.307581 0.000866466
           3    0.314412    0.309858  0.00194682
           4    0.309324    0.309725  0.00146468
           5    0.309555    0.309691  0.00117214
           6    0.308443    0.309483 0.000995059
           7    0.311586    0.309783  0.00089711
           8    0.316554     0.31063  0.00111484
           9    0.307764    0.310311  0.00103544
          10    0.306074    0.309887   0.0010149
          11    0.310697    0.309961 0.000925304
          12    0.307712    0.309774 0.000866968
          13    0.302881    0.309243 0.000948643
          14    0.306812     0.30907 0.000896634
          15    0.309076     0.30907 0.000836858
          16    0.306836    0.308931 0.000796125
          17    0.313705    0.309211 0.000797292
          18    0.314758     0.30952 0.000810364
          19    0.315705    0.309845 0.000830536
          20    0.311749     0.30994 0.000794445
