#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.006748    0.006748           0
           2   -0.006382    0.000183  0.00464216
           3    0.002832    0.001066  0.00317764
           4   -0.004436  -0.0003095  0.00266435
           5    0.005062   0.0007648  0.00233806
           6   -0.010732 -0.00115133  0.00261836
           7    0.003556-0.000478857  0.00232907
           8   -0.006938 -0.00128625  0.00217338
           9    0.001502-0.000976444  0.00195385
          10    -0.00316  -0.0011948  0.00177062
          11    0.009012-0.000266909  0.00183677
          12     0.00296       2e-06  0.00170327
          13   -0.009148-0.000701846  0.00171151
          14   -0.003054-0.000869857  0.00159748
          15   -0.003976 -0.00107693  0.00150435
          16    0.008208-0.000496625  0.00151813
          17   -0.002546-0.000617176  0.00143361
          18    0.014712 0.000234444  0.00158688
          19   -0.007268-0.000160421  0.00155171
          20   -0.007756  -0.0005402  0.00151989
