#   N_BLOCK:  ACCEPTANCE:
           1    0.231253
           2    0.231111
           3    0.231437
           4    0.231502
           5    0.231505
           6    0.231395
           7    0.231267
           8    0.231208
           9    0.231446
          10    0.231374
          11     0.23115
          12    0.231389
          13    0.231415
          14    0.231362
          15      0.2313
          16     0.23126
          17    0.231237
          18    0.231327
          19    0.231449
          20     0.23138
