#   N_BLOCK:  ACCEPTANCE:
           1    0.168398
           2    0.168376
           3    0.168908
           4    0.169186
           5    0.169224
           6    0.169175
           7    0.169244
           8    0.168946
           9    0.169141
          10    0.169091
          11    0.168899
          12    0.168898
          13    0.168867
          14    0.168814
          15    0.168974
          16    0.168965
          17     0.16899
          18    0.169105
          19    0.169155
          20    0.169125
