#   N_BLOCK:  ACCEPTANCE:
           1    0.445825
           2    0.445755
           3    0.445665
           4     0.44563
           5     0.44551
           6    0.445628
           7    0.445664
           8    0.445581
           9     0.44552
          10    0.445478
          11    0.445388
          12    0.445424
          13    0.445402
          14    0.445387
          15    0.445416
          16    0.445389
          17    0.445415
          18    0.445369
          19    0.445353
          20    0.445364
