#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.341716    0.341716           0
           2    0.343402    0.342559 0.000596216
           3    0.342693    0.342604 0.000399153
           4    0.342725    0.342634 0.000300508
           5    0.345418    0.343191  0.00055306
           6    0.339606    0.342593 0.000714092
           7    0.343891    0.342779 0.000635665
           8    0.345487    0.343117 0.000640055
           9    0.344372    0.343257 0.000583927
          10    0.345953    0.343526 0.000584497
          11    0.344073    0.343576 0.000533466
          12    0.346265      0.3438  0.00053401
          13    0.345694    0.343946 0.000512412
          14    0.344991     0.34402 0.000481218
          15    0.343964    0.344017 0.000449152
          16    0.345403    0.344103 0.000429352
          17    0.345943    0.344212 0.000417517
          18    0.343607    0.344178 0.000395671
          19    0.347902    0.344374 0.000420608
          20    0.342636    0.344287 0.000408454
