#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.813386   -0.813386           0
           2   -0.811698   -0.812542 0.000596688
           3   -0.814609   -0.813231 0.000688902
           4   -0.812282   -0.812994 0.000556024
           5   -0.814013   -0.813198 0.000480742
           6    -0.81408   -0.813345 0.000422485
           7   -0.812127   -0.813171 0.000396307
           8   -0.814323   -0.813315 0.000372036
           9   -0.811733   -0.813139 0.000369881
          10   -0.813874   -0.813213 0.000340122
          11   -0.812342   -0.813134 0.000318287
          12   -0.812002   -0.813039 0.000305418
          13   -0.811984   -0.812958 0.000292515
          14    -0.81364   -0.813007  0.00027565
          15   -0.811395   -0.812899 0.000277428
          16   -0.812903     -0.8129 0.000260089
          17   -0.812017   -0.812848 0.000249911
          18   -0.814602   -0.812945 0.000254316
          19   -0.814022   -0.813002 0.000247168
          20   -0.812364    -0.81297  0.00023686
