#   N_BLOCK:  ACCEPTANCE:
           1    0.396789
           2     0.39683
           3    0.397028
           4    0.397166
           5    0.396995
           6    0.396914
           7     0.39697
           8    0.397016
           9    0.397021
          10    0.397143
          11    0.397131
          12      0.3972
          13    0.397143
          14    0.397098
          15    0.397173
          16    0.397117
          17    0.397051
          18    0.397013
          19    0.396971
          20    0.396848
