#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.437299    0.437299           0
           2    0.436537    0.436918 0.000269585
           3    0.438101    0.437312 0.000368661
           4    0.435258    0.436799 0.000523717
           5    0.439002    0.437239 0.000575204
           6    0.434242     0.43674 0.000661646
           7    0.442797    0.437605 0.000981565
           8    0.438171    0.437676 0.000861411
           9    0.438098    0.437723 0.000766975
          10    0.434781    0.437428 0.000744556
          11     0.43237    0.436969 0.000806463
          12    0.436655    0.436942 0.000739682
          13      0.4368    0.436931 0.000682865
          14    0.440216    0.437166  0.00067318
          15    0.444606    0.437662  0.00079019
          16     0.44596    0.438181 0.000894969
          17    0.440049    0.438291 0.000849043
          18    0.439318    0.438348 0.000803792
          19    0.434241    0.438132 0.000790014
          20    0.438649    0.438157 0.000750936
