#   N_BLOCK:  ACCEPTANCE:
           1    0.151751
           2     0.15178
           3    0.151687
           4    0.151723
           5    0.151768
           6    0.151709
           7    0.151524
           8    0.151578
           9    0.151617
          10    0.151518
          11    0.151646
          12    0.151653
          13    0.151598
          14    0.151557
          15    0.151569
          16    0.151555
          17     0.15162
          18    0.151602
          19    0.151588
          20    0.151613
