#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -1.98784    -1.98784           0
           2     0.64006    -0.67389    0.929103
           3       0.286   -0.353927    0.672242
           4    -0.58128   -0.410765    0.506579
           5     0.87992   -0.152628    0.466418
           6    -0.08332   -0.141077    0.388825
           7    -0.32278   -0.167034    0.334144
           8      0.5026    -0.08333    0.302678
           9    -1.11654   -0.198131    0.290003
          10    -0.47562    -0.22588    0.262327
          11     -0.7903   -0.277191    0.243445
          12     0.31042   -0.228223     0.22803
          13    -0.35448   -0.237935    0.210696
          14    -2.32014   -0.386664    0.242523
          15      0.9607    -0.29684    0.242419
          16    -0.47962   -0.308264    0.227537
          17     0.57156   -0.256509     0.21996
          18    -0.71058   -0.281736    0.209181
          19     0.05934   -0.263784    0.198941
          20    -0.63524   -0.282357    0.189859
