#   N_BLOCK:  ACCEPTANCE:
           1    0.513028
           2       0.513
           3    0.512967
           4    0.512954
           5    0.512961
           6    0.512962
           7     0.51296
           8    0.512908
           9    0.512921
          10    0.512934
          11    0.512997
          12    0.513007
          13    0.513021
          14    0.513019
          15    0.512999
          16    0.513008
          17    0.512988
          18    0.513002
          19    0.513014
          20    0.513029
