#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         151    -6.87093    -6.88125 0.000560722
         152    -6.87066    -6.88118 0.000561345
         153    -6.87035    -6.88111 0.000562121
         154    -6.87054    -6.88104 0.000562646
         155    -6.87059    -6.88098  0.00056304
         156    -6.87087    -6.88091 0.000563145
         157    -6.87068    -6.88085 0.000563318
         158    -6.87049    -6.88078 0.000563555
         159    -6.87028    -6.88072 0.000563867
         160    -6.87041    -6.88065 0.000564008
         161    -6.87026    -6.88059 0.000564188
         162    -6.87028    -6.88052 0.000564279
         163    -6.87019    -6.88046 0.000564368
         164    -6.86966    -6.88039 0.000564753
         165    -6.86915    -6.88033 0.000565423
         166    -6.86904    -6.88026 0.000566089
         167    -6.86856    -6.88019 0.000567013
         168    -6.86849    -6.88012 0.000567896
         169    -6.86814    -6.88005 0.000568938
         170    -6.86782    -6.87997 0.000570118
         171    -6.86823    -6.87991 0.000570904
         172    -6.86782    -6.87984 0.000571895
         173    -6.86797    -6.87977 0.000572685
         174    -6.86799     -6.8797  0.00057338
         175    -6.86759    -6.87963 0.000574263
         176    -6.86741    -6.87956 0.000575179
         177    -6.86746    -6.87949 0.000575977
         178    -6.86702    -6.87942 0.000576988
         179    -6.86667    -6.87935 0.000578144
         180    -6.86641    -6.87928 0.000579386
         181    -6.86635    -6.87921 0.000580571
         182    -6.86642    -6.87914 0.000581615
         183    -6.86619    -6.87907 0.000582721
         184    -6.86671      -6.879 0.000583411
         185    -6.86679    -6.87893 0.000583982
         186    -6.86658    -6.87887 0.000584606
         187    -6.86629     -6.8788 0.000585339
         188    -6.86588    -6.87873 0.000586248
         189    -6.86603    -6.87866 0.000586984
         190    -6.86578     -6.8786 0.000587801
         191    -6.86491    -6.87852 0.000589075
         192    -6.86417    -6.87845  0.00059073
         193    -6.86401    -6.87838 0.000592389
         194    -6.86396     -6.8783 0.000593978
         195    -6.86335    -6.87822 0.000595857
         196    -6.86285    -6.87815 0.000597957
         197    -6.86237    -6.87807 0.000600259
