#   N_BLOCK:  ACCEPTANCE:
           1    0.495764
           2    0.495689
           3    0.495756
           4    0.495804
           5    0.495786
           6    0.495774
           7    0.495612
           8    0.495648
           9    0.495713
          10    0.495743
          11    0.495635
          12    0.495719
          13    0.495661
          14    0.495545
          15    0.495557
          16    0.495525
          17    0.495505
          18    0.495539
          19    0.495571
          20    0.495615
