#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.408971    0.408971           0
           2    0.400927    0.404949  0.00284386
           3    0.415601      0.4085  0.00346406
           4    0.389589    0.403772  0.00484898
           5     0.38427    0.399872  0.00521714
           6     0.39351    0.398811  0.00445406
           7     0.41973      0.4018  0.00471486
           8    0.369698    0.397787  0.00557751
           9    0.396632    0.397659  0.00495927
          10    0.420841    0.399977  0.00497575
          11    0.399502    0.399934  0.00452359
          12    0.411459    0.400894  0.00424737
          13    0.404011    0.401134  0.00392741
          14    0.389319     0.40029  0.00373645
          15    0.382909    0.399131  0.00366262
          16    0.411634    0.399913  0.00351608
          17     0.43826    0.402168  0.00396737
          18    0.391798    0.401592  0.00378857
          19    0.400062    0.401512  0.00359002
          20    0.391272       0.401  0.00344684
