#   N_BLOCK:  ACCEPTANCE:
           1    0.363776
           2     0.36362
           3    0.363777
           4    0.363914
           5    0.363812
           6    0.363862
           7    0.363815
           8    0.363823
           9    0.364071
          10    0.364084
          11    0.364214
          12     0.36413
          13    0.364092
          14    0.364126
          15    0.364164
          16    0.364073
          17    0.364029
          18    0.364046
          19     0.36405
          20    0.363909
