#   N_BLOCK:  ACCEPTANCE:
           1    0.414079
           2    0.414129
           3    0.414118
           4     0.41424
           5    0.414051
           6    0.414086
           7    0.414077
           8    0.414153
           9    0.414225
          10    0.414319
          11    0.414319
          12    0.414429
          13    0.414407
          14    0.414361
          15    0.414436
          16    0.414401
          17     0.41433
          18    0.414349
          19    0.414323
          20    0.414242
