#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04728     0.04728           0
           2     0.12988     0.08858   0.0292035
           3    -0.27878  -0.0338733    0.101861
           4     -0.3424   -0.111005     0.10148
           5      0.2529   -0.038224     0.10406
           6     0.27702   0.0143167   0.0990972
           7    -0.33014  -0.0348914   0.0963867
           8     0.01512    -0.02864   0.0845408
           9    -0.10996  -0.0376756   0.0756287
          10    -0.02264   -0.036172   0.0680808
          11     0.08276    -0.02536   0.0627443
          12     0.16178   -0.009765   0.0594221
          13    -0.03128    -0.01142   0.0548742
          14     0.01834 -0.00929429   0.0509957
          15    -0.04414  -0.0116173   0.0476489
          16     -0.0095   -0.011485    0.044671
          17    -0.00072  -0.0108518   0.0420478
          18     0.25116  0.00370444   0.0421562
          19     0.03442  0.00532105   0.0399684
          20    -0.03168    0.003471   0.0380128
