#   N_BLOCK:  ACCEPTANCE:
           1    0.235484
           2    0.235151
           3    0.235417
           4     0.23541
           5    0.235437
           6     0.23542
           7    0.235292
           8    0.235155
           9     0.23531
          10    0.235282
          11    0.235158
          12    0.235382
          13    0.235424
          14    0.235367
          15    0.235321
          16    0.235255
          17    0.235242
          18    0.235347
          19    0.235379
          20    0.235311
