#   N_BLOCK:  ACCEPTANCE:
           1    0.478872
           2    0.478716
           3    0.478765
           4    0.478874
           5    0.478934
           6     0.47886
           7     0.47882
           8    0.478805
           9    0.478848
          10    0.478853
          11    0.478772
          12    0.478786
          13    0.478741
          14    0.478652
          15    0.478667
          16    0.478617
          17     0.47862
          18     0.47871
          19     0.47874
          20    0.478759
