#   N_BLOCK:  ACCEPTANCE:
           1    0.464396
           2    0.464357
           3    0.464412
           4     0.46456
           5    0.464572
           6    0.464599
           7    0.464529
           8    0.464476
           9    0.464342
          10    0.464419
          11    0.464295
          12    0.464227
          13    0.464125
          14    0.464022
          15    0.464019
          16     0.46397
          17    0.463938
          18     0.46398
          19    0.463996
          20    0.463974
