#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.53314    -0.53314           0
           2   -0.536708   -0.534924  0.00126148
           3   -0.534804   -0.534884  0.00084162
           4   -0.534816   -0.534867 0.000631386
           5   -0.534236   -0.534741 0.000517568
           6   -0.534832   -0.534756  0.00043153
           7   -0.535832    -0.53491 0.000396315
           8    -0.53608   -0.535056 0.000372798
           9   -0.538176   -0.535403  0.00046544
          10   -0.534376     -0.5353  0.00043007
          11   -0.537632   -0.535512 0.000440134
          12   -0.537416   -0.535671 0.000431108
          13   -0.538056   -0.535854 0.000435245
          14   -0.538088   -0.536014 0.000432416
          15   -0.536156   -0.536023 0.000403692
          16   -0.535984   -0.536021 0.000378469
          17   -0.536484   -0.536048 0.000357186
          18   -0.535216   -0.536002  0.00034032
          19   -0.536004   -0.536002 0.000322408
          20   -0.536068   -0.536005 0.000306305
