#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         160       -0.76     -0.7695  0.00486682
         161       -0.84   -0.769938  0.00485625
         162       -0.84    -0.77037  0.00484549
         163       -0.84   -0.770798  0.00483456
         164       -0.68   -0.770244  0.00483668
         165       -0.76   -0.770182  0.00480776
         166       -0.84   -0.770602  0.00479716
         167       -0.84   -0.771018   0.0047864
         168       -0.84   -0.771429  0.00477549
         169       -0.84   -0.771834  0.00476444
         170       -0.84   -0.772235  0.00475326
         171       -0.76   -0.772164    0.004726
         172       -0.76   -0.772093  0.00469905
         173       -0.84   -0.772486  0.00468825
         174       -0.84   -0.772874  0.00467734
         175       -0.84   -0.773257  0.00466631
         176       -0.76   -0.773182  0.00464041
         177       -0.68   -0.772655  0.00464396
         178       -0.68   -0.772135  0.00464695
         179       -0.68    -0.77162  0.00464941
         180       -0.68   -0.771111  0.00465136
         181       -0.52   -0.769724  0.00482813
         182        -0.6   -0.768791  0.00489083
         183       -0.68   -0.768306  0.00488811
         184       -0.68   -0.767826  0.00488505
         185       -0.92   -0.768649  0.00492741
         186       -0.92   -0.769462  0.00496766
         187       -0.76   -0.769412  0.00494135
         188       -0.84   -0.769787  0.00492931
         189       -0.68   -0.769312  0.00492607
         190       -0.76   -0.769263  0.00490038
         191       -0.76   -0.769215  0.00487497
         192       -0.84   -0.769583   0.0048635
         193       -0.76   -0.769534  0.00483855
         194       -0.76   -0.769485  0.00481386
         195       -0.92   -0.770256  0.00485066
         196       -0.92    -0.77102  0.00488571
         197       -0.76   -0.770964  0.00486123
         198       -0.84   -0.771313  0.00484917
         199       -0.84   -0.771658  0.00483707
         200       -0.76     -0.7716  0.00481323
         201       -0.76   -0.771542  0.00478963
         202       -0.76   -0.771485  0.00476626
         203       -0.92   -0.772217   0.0047986
         204       -0.92   -0.772941  0.00482945
         205       -0.84   -0.773268  0.00481696
         206       -0.84   -0.773592  0.00480446
         207       -0.84   -0.773913  0.00479195
         208       -0.84   -0.774231  0.00477943
         209       -0.84   -0.774545  0.00476691
         210       -0.84   -0.774857  0.00475439
         211       -0.84   -0.775166  0.00474187
         212       -0.76   -0.775094  0.00472004
         213       -0.84   -0.775399  0.00470771
