#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439338    0.439338           0
           2    0.434676    0.437007  0.00164853
           3    0.440302    0.438105  0.00141842
           4    0.443212    0.439382  0.00153424
           5    0.445478    0.440601  0.00164188
           6    0.434846    0.439642  0.00162444
           7    0.433412    0.438752   0.0016179
           8    0.445123    0.439548  0.00159969
           9    0.435413    0.439089  0.00148646
          10     0.43104    0.438284  0.00154038
          11    0.442856      0.4387  0.00145533
          12    0.434401    0.438341  0.00137744
          13    0.439308    0.438416  0.00127349
          14    0.437027    0.438317  0.00118638
          15    0.440806    0.438482  0.00111884
          16    0.435762    0.438312  0.00106175
          17    0.444751    0.438691  0.00106471
          18    0.437822    0.438643  0.00100665
          19     0.43835    0.438627  0.00095379
          20    0.444275     0.43891 0.000946985
