#   N_BLOCK:  ACCEPTANCE:
           1    0.231134
           2    0.231506
           3    0.231375
           4      0.2313
           5     0.23138
           6    0.231337
           7    0.231322
           8     0.23129
           9    0.231303
          10    0.231289
          11    0.231229
          12    0.231177
          13    0.231174
          14    0.231176
          15    0.231191
          16    0.231129
          17    0.231092
          18    0.231082
          19    0.231133
          20    0.231087
