#   N_BLOCK:  ACCEPTANCE:
           1    0.272482
           2    0.272518
           3    0.272511
           4    0.272483
           5    0.272556
           6     0.27262
           7    0.272572
           8    0.272543
           9    0.272575
          10     0.27257
          11    0.272643
          12    0.272666
          13    0.272659
          14    0.272652
          15     0.27266
          16     0.27264
          17    0.272664
          18    0.272656
          19    0.272683
          20    0.272743
