#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.408567    0.408567           0
           2    0.410065    0.409316 0.000529916
           3    0.418984    0.412539  0.00265489
           4    0.406915    0.411133  0.00233387
           5    0.407118     0.41033  0.00200046
           6    0.407488    0.409856  0.00172223
           7    0.408318    0.409636  0.00149014
           8    0.408164    0.409452  0.00131518
           9     0.41619    0.410201  0.00136561
          10    0.415899    0.410771  0.00134266
          11    0.413887    0.411054  0.00125014
          12    0.412301    0.411158  0.00115027
          13    0.412812    0.411285   0.0010688
          14    0.406765    0.410962  0.00104008
          15     0.40928     0.41085 0.000976769
          16    0.407867    0.410664 0.000933352
          17    0.409538    0.410598 0.000880796
          18    0.409278    0.410524 0.000834909
          19    0.411414    0.410571 0.000792279
          20    0.407586    0.410422 0.000766599
