#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.298852    0.298852           0
           2    0.295981    0.297416  0.00101493
           3    0.301419    0.298751  0.00128236
           4    0.296138    0.298097   0.0011158
           5    0.295326    0.297543  0.00102108
           6    0.294542    0.297043 0.000965673
           7    0.293932    0.296599 0.000924315
           8    0.295319    0.296439 0.000822505
           9    0.294532    0.296227   0.0007579
          10    0.298608    0.296465 0.000718544
          11    0.300217    0.296806 0.000729694
          12    0.297334     0.29685  0.00067021
          13    0.295678     0.29676 0.000624685
          14    0.295187    0.296647 0.000590082
          15    0.297894    0.296731 0.000556566
          16    0.295617    0.296661 0.000526113
          17    0.297757    0.296725 0.000499099
          18    0.295572    0.296661 0.000475469
          19    0.297424    0.296701 0.000452134
          20    0.299301    0.296831 0.000447818
