Block   Block_avgCumulative_avg       Error
159    -0.43626   -0.431629  0.00826116
160   -0.499001   -0.432047  0.00822035
161   -0.416425   -0.431951  0.00817002
162   -0.477006   -0.432227  0.00812444
163   -0.581002   -0.433135  0.00812555
164   -0.585628   -0.434059  0.00812886
165   -0.407718     -0.4339  0.00808131
166   -0.414114   -0.433782  0.00803364
167   -0.481164   -0.434064  0.00799066
168   -0.483783   -0.434358  0.00794868
169   -0.412997   -0.434232  0.00790279
170   -0.459937   -0.434382  0.00785787
171   -0.385346   -0.434097  0.00781725
172   -0.547675   -0.434754  0.00779962
173   -0.447005   -0.434824  0.00775498
174   -0.376846   -0.434493  0.00771765
175   -0.480299   -0.434753  0.00767809
176   -0.452215   -0.434852  0.00763523
177   -0.372122   -0.434499  0.00760038
178   -0.469289   -0.434694   0.0075603
179   -0.495852   -0.435034  0.00752586
180   -0.476373   -0.435262  0.00748765
181   -0.245042   -0.434217  0.00751938
182   -0.349251   -0.433753  0.00749258
183   -0.456529   -0.433876  0.00745278
184   -0.521757   -0.434351  0.00742759
185   -0.511279   -0.434765  0.00739912
186   -0.496114   -0.435093  0.00736675
187   -0.489351   -0.435382  0.00733314
188   -0.518186    -0.43582  0.00730739
189   -0.433949    -0.43581  0.00726883
190   -0.444857   -0.435857  0.00723083
191   -0.512626   -0.436257  0.00720417
192   -0.451461   -0.436336  0.00716718
193   -0.432519   -0.436316  0.00713017
194   -0.575329   -0.437029  0.00712924
195    -0.44638   -0.437077  0.00709294
196   -0.409002   -0.436934  0.00705828
197   -0.494737   -0.437226  0.00702861
198   -0.418691   -0.437133  0.00699382
199   -0.432566    -0.43711   0.0069588
200   -0.518036   -0.437513  0.00693579
201   -0.514397   -0.437893  0.00691185
202   -0.379812   -0.437607  0.00688367
203   -0.442545   -0.437632  0.00684988
204   -0.468996   -0.437785   0.0068181
205   -0.470971   -0.437946  0.00678684
206   -0.469664   -0.438099  0.00675571
207   -0.437195   -0.438095  0.00672315
208   -0.406928   -0.437945  0.00669257
209   -0.372384   -0.437633  0.00666794
210   -0.444828   -0.437667  0.00663635
211   -0.455341   -0.437751   0.0066055
212   -0.502055   -0.438053  0.00658134
213   -0.355636   -0.437667  0.00656182
214   -0.444749     -0.4377  0.00653132
215   -0.418637   -0.437612  0.00650161
216   -0.494948   -0.437876  0.00647697
217   -0.506608   -0.438192  0.00645489
218   -0.565237   -0.438772  0.00645149
219   -0.227442   -0.437811  0.00649354
220   -0.435569   -0.437801   0.0064641
221   -0.484389   -0.438011  0.00643833
222   -0.443994   -0.438038  0.00640945
223   -0.332083   -0.437565  0.00639828
224   -0.475717   -0.437734  0.00637204
225   -0.424586   -0.437676  0.00634405
226   -0.521432   -0.438045  0.00632681
227   -0.482538    -0.43824  0.00630202
228   -0.188519    -0.43715   0.0063685
229   -0.470017   -0.437293  0.00634236
230    -0.48257   -0.437489  0.00631788
231   -0.404963   -0.437348  0.00629215
232   -0.499851   -0.437617  0.00627083
233   -0.371358   -0.437334  0.00625039
234   -0.395467   -0.437155  0.00622629
235    -0.41186   -0.437048  0.00620077
236    -0.35109   -0.436685   0.0061852
237   -0.469241   -0.436822  0.00616067
238    -0.51568   -0.437152  0.00614371
239   -0.427513   -0.437112  0.00611819
240   -0.505122   -0.437394  0.00609928
241   -0.449571   -0.437445  0.00607423
242   -0.484989    -0.43764  0.00605235
243   -0.457814   -0.437723  0.00602806
244   -0.450077   -0.437773  0.00600362
245   -0.505337   -0.438048  0.00598547
246   -0.544381   -0.438478  0.00597671
247    -0.46626   -0.438591  0.00595361
248   -0.434844   -0.438575  0.00592968
249   -0.494302   -0.438798  0.00591011
250   -0.373197   -0.438537  0.00589232
251   -0.390025   -0.438345  0.00587205
252    -0.45319   -0.438403  0.00584909
253    -0.42563   -0.438353  0.00582623
254    -0.40648   -0.438228  0.00580468
255   -0.467719   -0.438343  0.00578311
256   -0.385591   -0.438138  0.00576422
257   -0.466465   -0.438248  0.00574288
258   -0.535122   -0.438622  0.00573288
259   -0.496712   -0.438845  0.00571516
260   -0.469168   -0.438961  0.00569441
261   -0.451513   -0.439009  0.00567283
262   -0.534353   -0.439372  0.00566284
263   -0.337507   -0.438986  0.00565453
264   -0.543087   -0.439379  0.00564683
265   -0.434073   -0.439359   0.0056256
266   -0.471552   -0.439479  0.00560578
267    -0.20014   -0.438586  0.00565578
268   -0.424776   -0.438535  0.00563495
269   -0.479475   -0.438687  0.00561609
270   -0.426129    -0.43864  0.00559552
271   -0.465469   -0.438739  0.00557578
272   -0.459885   -0.438816  0.00555586
273   -0.489326   -0.439001  0.00553861
274   -0.441797   -0.439011  0.00551845
275   -0.391026   -0.438837  0.00550116
276   -0.408672   -0.438728  0.00548235
277   -0.465114   -0.438823  0.00546342
278   -0.476019   -0.438956  0.00544543
279   -0.534667   -0.439298  0.00543671
