#   N_BLOCK:  ACCEPTANCE:
           1   0.0137842
           2   0.0137204
           3   0.0137038
           4   0.0136391
           5   0.0136055
           6    0.013582
           7   0.0136137
           8     0.01355
           9   0.0134651
          10   0.0134953
          11   0.0134289
          12   0.0134882
          13   0.0134865
          14   0.0134854
          15   0.0134622
          16    0.013415
          17    0.013376
          18    0.013448
          19   0.0134291
          20   0.0134359
