#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -1.00311    -1.00311           0
           2    -1.00496    -1.00404 0.000653559
           3    -1.00355    -1.00387  0.00045518
           4    -1.00459    -1.00405 0.000374793
           5    -1.00437    -1.00412 0.000305106
           6    -1.00339    -1.00399 0.000277193
           7    -1.00335     -1.0039 0.000252423
           8    -1.00522    -1.00407 0.000268963
           9    -1.00636    -1.00432 0.000338956
          10    -1.00147    -1.00404 0.000407597
          11    -1.00604    -1.00422 0.000409312
          12    -1.00227    -1.00406 0.000406282
          13    -1.00414    -1.00406 0.000375081
          14    -1.00376    -1.00404 0.000348932
          15    -1.00376    -1.00402 0.000326189
          16    -1.00562    -1.00412 0.000320729
          17    -1.00551     -1.0042 0.000312082
          18      -1.001    -1.00403 0.000341681
          19    -1.00426    -1.00404 0.000323913
          20    -1.00369    -1.00402 0.000308176
