#BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     1.59655     1.59659 2.38896e-05
         153     1.59605     1.59658 2.39875e-05
         154     1.59646     1.59658 2.38441e-05
         155     1.59707     1.59659 2.38963e-05
         156     1.59681     1.59659 2.37882e-05
         157     1.59612     1.59658 2.38259e-05
         158     1.59684     1.59659 2.37304e-05
         159      1.5968     1.59659 2.36201e-05
         160     1.59736     1.59659 2.39667e-05
         161     1.59685     1.59659 2.38702e-05
         162     1.59609     1.59659 2.39269e-05
         163     1.59626     1.59659  2.3865e-05
         164     1.59645     1.59659 2.37336e-05
         165     1.59669     1.59659 2.35984e-05
         166     1.59671     1.59659 2.34669e-05
         167     1.59635     1.59659 2.33688e-05
         168     1.59627     1.59659 2.33084e-05
         169     1.59662     1.59659 2.31715e-05
         170     1.59663     1.59659 2.30369e-05
         171     1.59653     1.59659 2.29045e-05
         172     1.59692     1.59659 2.28535e-05
         173     1.59658     1.59659 2.27215e-05
         174     1.59635     1.59659 2.26306e-05
         175     1.59686     1.59659 2.25553e-05
         176     1.59645     1.59659 2.24407e-05
         177     1.59703     1.59659 2.24559e-05
         178     1.59675     1.59659 2.23481e-05
         179     1.59727     1.59659 2.25437e-05
         180     1.59651     1.59659 2.24235e-05
         181     1.59656     1.59659 2.23006e-05
         182      1.5964     1.59659 2.22036e-05
         183     1.59681     1.59659 2.21148e-05
         184     1.59619     1.59659 2.21017e-05
         185     1.59715     1.59659 2.21856e-05
         186     1.59684      1.5966 2.21068e-05
         187     1.59637     1.59659 2.20216e-05
         188     1.59661      1.5966 2.19047e-05
         189     1.59669      1.5966 2.17943e-05
         190     1.59701      1.5966 2.17899e-05
         191     1.59662      1.5966 2.16763e-05
         192     1.59661      1.5966 2.15635e-05
         193     1.59696      1.5966 2.15342e-05
         194     1.59672      1.5966 2.14326e-05
         195     1.59672      1.5966 2.13308e-05
         196     1.59684      1.5966 2.12565e-05
         197     1.59591      1.5966 2.14344e-05
         198     1.59628      1.5966  2.1386e-05
         199     1.59599     1.59659 2.14923e-05
         200      1.5964     1.59659 2.14071e-05
         201       1.597      1.5966 2.13982e-05
         202     1.59714      1.5966 2.14614e-05
         203     1.59672      1.5966 2.13634e-05
         204      1.5962      1.5966 2.13492e-05
         205      1.5962     1.59659 2.13337e-05
         206     1.59642     1.59659 2.12474e-05
         207     1.59749      1.5966 2.15787e-05
         208     1.59684      1.5966 2.15067e-05
         209     1.59629      1.5966 2.14562e-05
         210     1.59681      1.5966 2.13773e-05
         211     1.59635      1.5966 2.13081e-05
         212     1.59705      1.5966 2.13126e-05
         213      1.5967      1.5966 2.12175e-05
         214     1.59712      1.5966 2.12567e-05
         215     1.59614      1.5966 2.12682e-05
         216     1.59618      1.5966 2.12582e-05
         217     1.59679      1.5966  2.1178e-05
         218     1.59618      1.5966 2.11699e-05
         219     1.59704      1.5966 2.11676e-05
         220     1.59614      1.5966  2.1176e-05
         221     1.59654      1.5966 2.10819e-05
         222     1.59621      1.5966 2.10594e-05
         223     1.59667      1.5966 2.09676e-05
         224     1.59659      1.5966  2.0874e-05
         225     1.59669      1.5966 2.07852e-05
         226     1.59647      1.5966 2.07004e-05
         227     1.59705      1.5966 2.07038e-05
         228     1.59648      1.5966  2.0619e-05
         229     1.59671      1.5966 2.05353e-05
         230     1.59635      1.5966 2.04747e-05
         231     1.59639      1.5966  2.0405e-05
         232     1.59646     1.59659 2.03248e-05
         233     1.59638     1.59659 2.02592e-05
         234       1.597      1.5966  2.0248e-05
         235     1.59614     1.59659 2.02551e-05
         236     1.59649     1.59659 2.01743e-05
         237     1.59614     1.59659 2.01813e-05
         238     1.59686     1.59659  2.0127e-05
         239     1.59701     1.59659 2.01171e-05
         240     1.59631     1.59659 2.00683e-05
         241     1.59696     1.59659 2.00436e-05
         242     1.59692      1.5966 2.00065e-05
         243     1.59608     1.59659 2.00348e-05
         244     1.59663     1.59659 1.99532e-05
         245     1.59649     1.59659 1.98765e-05
         246     1.59733      1.5966 2.00228e-05
         247     1.59759      1.5966 2.03399e-05
         248     1.59666      1.5966 2.02595e-05
         249     1.59602      1.5966   2.031e-05
         250     1.59627      1.5966 2.02711e-05
         251     1.59671      1.5966 2.01956e-05
         252     1.59681      1.5966 2.01331e-05
         253     1.59668      1.5966  2.0056e-05
         254     1.59669      1.5966 1.99799e-05
         255     1.59653      1.5966 1.99034e-05
         256     1.59599      1.5966 1.99675e-05
         257     1.59653      1.5966 1.98915e-05
         258     1.59723      1.5966 1.99655e-05
         259     1.59649      1.5966 1.98928e-05
         260     1.59673      1.5966 1.98223e-05
         261      1.5972      1.5966 1.98814e-05
         262      1.5968      1.5966 1.98199e-05
         263     1.59666      1.5966 1.97458e-05
         264     1.59662      1.5966 1.96711e-05
         265     1.59566      1.5966 1.99124e-05
         266     1.59702      1.5966 1.98991e-05
         267     1.59649      1.5966 1.98291e-05
         268     1.59632      1.5966 1.97822e-05
         269     1.59585      1.5966 1.99059e-05
         270     1.59675      1.5966   1.984e-05
         271      1.5963      1.5966 1.97962e-05
         272     1.59718      1.5966 1.98406e-05
         273      1.5967      1.5966 1.97719e-05
         274     1.59681      1.5966 1.97145e-05
         275     1.59669      1.5966 1.96459e-05
         276     1.59673      1.5966 1.95803e-05
         277      1.5965      1.5966 1.95128e-05
         278     1.59735      1.5966 1.96297e-05
         279      1.5969      1.5966 1.95884e-05
         280     1.59629      1.5966 1.95498e-05
         281     1.59632      1.5966 1.95057e-05
         282     1.59644      1.5966 1.94447e-05
         283     1.59654      1.5966 1.93772e-05
         284     1.59671      1.5966 1.93131e-05
         285     1.59641      1.5966 1.92572e-05
         286     1.59658      1.5966   1.919e-05
         287     1.59693      1.5966  1.9158e-05
         288     1.59571      1.5966 1.93384e-05
         289      1.5965      1.5966 1.92741e-05
         290     1.59637      1.5966 1.92241e-05
         291       1.597      1.5966  1.9207e-05
         292      1.5971      1.5966 1.92168e-05
         293     1.59574      1.5966 1.93759e-05
         294     1.59675      1.5966 1.93169e-05
         295     1.59691      1.5966 1.92803e-05
         296     1.59657      1.5966 1.92155e-05
         297     1.59622      1.5966 1.91938e-05
         298     1.59637      1.5966 1.91439e-05
         299     1.59647      1.5966 1.90844e-05
         300     1.59661      1.5966 1.90208e-05
         301     1.59664      1.5966 1.89582e-05
         302     1.59668      1.5966 1.88976e-05
         303     1.59735      1.5966 1.89998e-05
         304      1.5963      1.5966 1.89623e-05
         305     1.59637      1.5966 1.89155e-05
         306     1.59665      1.5966 1.88544e-05
         307     1.59718      1.5966 1.88898e-05
         308     1.59636      1.5966 1.88438e-05
         309     1.59671      1.5966 1.87865e-05
         310     1.59679      1.5966 1.87362e-05
         311     1.59563      1.5966 1.89315e-05
         312     1.59609     1.59659 1.89402e-05
         313     1.59675      1.5966 1.88861e-05
         314     1.59707      1.5966 1.88856e-05
         315     1.59669      1.5966 1.88279e-05
         316     1.59729      1.5966 1.88957e-05
         317     1.59675      1.5966 1.88421e-05
         318     1.59659      1.5966 1.87829e-05
         319     1.59657      1.5966 1.87242e-05
         320     1.59647      1.5966 1.86701e-05
         321     1.59673      1.5966 1.86165e-05
         322     1.59611      1.5966 1.86201e-05
         323     1.59676      1.5966 1.85694e-05
         324     1.59654      1.5966 1.85131e-05
         325     1.59656      1.5966 1.84565e-05
         326     1.59676      1.5966 1.84068e-05
         327     1.59592      1.5966  1.8468e-05
         328     1.59728      1.5966 1.85304e-05
         329      1.5969      1.5966 1.84967e-05
         330      1.5967      1.5966 1.84433e-05
         331     1.59648      1.5966  1.8391e-05
         332     1.59622      1.5966  1.8372e-05
         333     1.59666      1.5966 1.83177e-05
         334     1.59652      1.5966 1.82644e-05
         335     1.59667      1.5966  1.8211e-05
         336     1.59611      1.5966 1.82154e-05
         337     1.59617      1.5966 1.82045e-05
         338     1.59648      1.5966 1.81537e-05
         339     1.59686      1.5966 1.81171e-05
         340     1.59674      1.5966  1.8069e-05
         341     1.59668      1.5966 1.80175e-05
         342     1.59683      1.5966 1.79779e-05
         343     1.59635      1.5966 1.79403e-05
         344     1.59729      1.5966 1.80001e-05
         345     1.59628      1.5966 1.79709e-05
         346     1.59604      1.5966 1.79909e-05
         347     1.59686      1.5966 1.79556e-05
         348     1.59669      1.5966 1.79058e-05
         349     1.59662      1.5966 1.78546e-05
         350     1.59666      1.5966 1.78045e-05
         351     1.59677      1.5966 1.77609e-05
         352     1.59714      1.5966 1.77764e-05
         353      1.5962      1.5966 1.77619e-05
         354     1.59627      1.5966 1.77366e-05
         355     1.59662      1.5966 1.76868e-05
         356     1.59645      1.5966  1.7642e-05
         357     1.59658      1.5966 1.75927e-05
         358     1.59679      1.5966 1.75519e-05
         359     1.59614      1.5966 1.75487e-05
         360     1.59647      1.5966 1.75033e-05
         361     1.59621      1.5966 1.74882e-05
         362     1.59674      1.5966 1.74444e-05
         363     1.59675      1.5966 1.74017e-05
         364     1.59703      1.5966 1.73952e-05
         365     1.59665      1.5966 1.73481e-05
         366     1.59608      1.5966 1.73584e-05
         367     1.59684      1.5966 1.73236e-05
         368     1.59667      1.5966 1.72776e-05
         369     1.59636      1.5966 1.72421e-05
         370     1.59625      1.5966 1.72203e-05
         371     1.59678      1.5966 1.71815e-05
         372     1.59646      1.5966 1.71393e-05
         373      1.5971      1.5966  1.7146e-05
         374      1.5971      1.5966  1.7152e-05
         375     1.59695      1.5966 1.71315e-05
         376     1.59622      1.5966 1.71161e-05
         377     1.59645      1.5966 1.70754e-05
         378      1.5969      1.5966 1.70485e-05
         379     1.59714      1.5966  1.7063e-05
         380     1.59601      1.5966 1.70893e-05
         381     1.59673      1.5966 1.70477e-05
         382     1.59708      1.5966 1.70489e-05
         383     1.59668      1.5966 1.70057e-05
         384     1.59641      1.5966 1.69686e-05
         385     1.59668      1.5966 1.69259e-05
         386     1.59626      1.5966 1.69054e-05
         387     1.59645      1.5966 1.68661e-05
         388     1.59644      1.5966 1.68278e-05
         389     1.59647      1.5966 1.67876e-05
         390     1.59654      1.5966 1.67453e-05
         391     1.59682      1.5966 1.67119e-05
         392     1.59648      1.5966 1.66722e-05
         393     1.59649      1.5966 1.66321e-05
         394     1.59691      1.5966  1.6609e-05
         395     1.59686      1.5966 1.65801e-05
         396     1.59648      1.5966 1.65411e-05
         397     1.59645      1.5966 1.65035e-05
         398     1.59689      1.5966 1.64784e-05
         399     1.59632      1.5966 1.64519e-05
         400     1.59626      1.5966 1.64323e-05
         401     1.59668      1.5966 1.63927e-05
         402     1.59648      1.5966 1.63546e-05
         403     1.59704      1.5966 1.63501e-05
         404     1.59602      1.5966 1.63722e-05
         405     1.59637      1.5966 1.63412e-05
         406      1.5965      1.5966 1.63028e-05
         407     1.59679      1.5966 1.62694e-05
         408     1.59661      1.5966 1.62295e-05
         409     1.59686      1.5966 1.62022e-05
         410     1.59619      1.5966 1.61926e-05
         411     1.59647      1.5966 1.61559e-05
         412     1.59675      1.5966 1.61208e-05
         413     1.59677      1.5966  1.6087e-05
         414     1.59657      1.5966 1.60483e-05
         415     1.59668      1.5966 1.60107e-05
         416     1.59672      1.5966 1.59748e-05
         417     1.59623      1.5966 1.59613e-05
         418     1.59609      1.5966 1.59688e-05
         419     1.59681      1.5966 1.59388e-05
         420     1.59688      1.5966 1.59157e-05
         421      1.5974      1.5966 1.59924e-05
         422     1.59681      1.5966 1.59621e-05
         423     1.59647      1.5966 1.59271e-05
         424     1.59646      1.5966 1.58929e-05
         425     1.59645      1.5966 1.58592e-05
         426     1.59634      1.5966 1.58335e-05
         427     1.59734      1.5966 1.58912e-05
         428       1.597      1.5966 1.58821e-05
         429     1.59681      1.5966 1.58525e-05
         430     1.59617      1.5966 1.58469e-05
         431     1.59609      1.5966 1.58546e-05
         432     1.59666      1.5966 1.58187e-05
         433     1.59671      1.5966 1.57843e-05
         434     1.59693      1.5966  1.5766e-05
         435     1.59651      1.5966 1.57312e-05
         436     1.59618      1.5966 1.57244e-05
         437      1.5962      1.5966 1.57148e-05
         438     1.59625      1.5966 1.56988e-05
         439     1.59651      1.5966 1.56642e-05
         440     1.59686      1.5966 1.56398e-05
         441     1.59611      1.5966 1.56428e-05
         442     1.59687      1.5966 1.56193e-05
         443     1.59686      1.5966  1.5595e-05
         444     1.59634      1.5966 1.55707e-05
         445     1.59636      1.5966 1.55449e-05
         446      1.5966      1.5966 1.55101e-05
         447     1.59663      1.5966 1.54756e-05
         448     1.59672      1.5966 1.54435e-05
         449       1.597      1.5966 1.54351e-05
         450      1.5967      1.5966 1.54024e-05
         451     1.59679      1.5966 1.53742e-05
         452     1.59668      1.5966 1.53412e-05
         453     1.59675      1.5966 1.53111e-05
         454     1.59663      1.5966 1.52776e-05
         455     1.59691      1.5966  1.5259e-05
         456     1.59668      1.5966 1.52266e-05
         457     1.59639      1.5966 1.51999e-05
         458     1.59614      1.5966 1.52004e-05
         459     1.59629      1.5966 1.51825e-05
         460     1.59725      1.5966 1.52155e-05
         461     1.59663      1.5966 1.51827e-05
         462     1.59747      1.5966  1.5266e-05
         463     1.59604      1.5966 1.52816e-05
         464     1.59681      1.5966 1.52551e-05
         465     1.59655      1.5966 1.52227e-05
         466      1.5968      1.5966 1.51959e-05
         467     1.59669      1.5966 1.51645e-05
         468     1.59668      1.5966 1.51331e-05
