#   N_BLOCK:  ACCEPTANCE:
           1      0.4932
           2    0.492989
           3    0.492975
           4    0.493066
           5    0.493167
           6    0.493201
           7    0.493126
           8     0.49319
           9    0.493251
          10    0.493209
          11    0.493143
          12    0.493179
          13    0.493158
          14     0.49305
          15    0.493045
          16    0.493054
          17    0.493016
          18    0.493031
          19    0.493042
          20    0.493037
