#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.035736    0.035736           0
           2    0.043142    0.039439  0.00261842
           3    0.045504   0.0414607  0.00240248
           4     0.05052   0.0437255  0.00266342
           5    0.045376   0.0440556  0.00215109
           6    0.049706   0.0449973  0.00198806
           7    0.040518   0.0443574   0.0018041
           8     0.04765    0.044769  0.00162486
           9    0.046618   0.0449744  0.00145725
          10     0.04614    0.045091  0.00131617
          11    0.046798   0.0452462  0.00120564
          12    0.050756   0.0457053  0.00118939
          13    0.051142   0.0461235  0.00116911
          14     0.04789   0.0462497  0.00109239
          15     0.04763   0.0463417  0.00102343
          16    0.047082    0.046388 0.000960513
          17    0.046944   0.0464207 0.000904569
          18    0.047686    0.046491 0.000857042
          19    0.043688   0.0463435 0.000824534
          20    0.048512   0.0464519 0.000790404
