#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.470239    0.470239           0
           2    0.460267    0.465253  0.00352584
           3    0.474298    0.468268  0.00340383
           4    0.470075     0.46872  0.00258266
           5    0.470119       0.469  0.00208124
           6    0.471835    0.469472  0.00178721
           7    0.471537    0.469767  0.00155604
           8    0.469284    0.469707  0.00136271
           9    0.463775    0.469048  0.00136138
          10    0.463361    0.468479  0.00133874
          11    0.475246    0.469094    0.001351
          12    0.472149    0.469349  0.00126216
          13    0.463177    0.468874  0.00125117
          14     0.45804      0.4681  0.00138053
          15    0.462997     0.46776  0.00132975
          16      0.4714    0.467988  0.00126595
          17    0.463339    0.467714  0.00122065
          18      0.4608     0.46733  0.00121176
          19     0.47162    0.467556  0.00116883
          20    0.472484    0.467802  0.00113606
