#   N_BLOCK:  ACCEPTANCE:
           1    0.173288
           2    0.173401
           3    0.173895
           4    0.173925
           5    0.173814
           6    0.173777
           7    0.173727
           8    0.173591
           9    0.173803
          10    0.173837
          11    0.173666
          12    0.173691
          13    0.173541
          14    0.173477
          15    0.173482
          16    0.173474
          17    0.173604
          18     0.17367
          19    0.173729
          20    0.173623
