#   N_BLOCK:  ACCEPTANCE:
           1   0.0954017
           2   0.0955947
           3   0.0953293
           4   0.0946488
           5   0.0946163
           6    0.094704
           7   0.0942602
           8   0.0943493
           9   0.0948108
          10   0.0949152
          11   0.0948433
          12   0.0949829
          13   0.0947523
          14   0.0943044
          15   0.0943501
          16    0.094318
          17   0.0945022
          18   0.0948875
          19   0.0948137
          20   0.0945658
