#   N_BLOCK:  ACCEPTANCE:
           1    0.317791
           2    0.317772
           3    0.317722
           4    0.317971
           5    0.317709
           6    0.317619
           7    0.317492
           8    0.317353
           9    0.317549
          10    0.317443
          11     0.31737
          12    0.317356
          13    0.317346
          14    0.317283
          15    0.317316
          16    0.317243
          17    0.317229
          18    0.317313
          19    0.317374
          20    0.317252
