#   N_BLOCK:  ACCEPTANCE:
           1       0.484
           2    0.483808
           3    0.483811
           4    0.483974
           5    0.484067
           6    0.484116
           7    0.484072
           8    0.484115
           9    0.484082
          10    0.484167
          11    0.484067
          12    0.484061
          13    0.483965
          14      0.4839
          15    0.483839
          16    0.483768
          17    0.483741
          18    0.483826
          19    0.483862
          20    0.483861
