#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    -0.00099    -0.00099           0
           2    0.008674    0.003842  0.00341674
           3   -0.012304    -0.00154  0.00494966
           4   -0.002388   -0.001752  0.00371678
           5    -0.00304  -0.0020096  0.00298234
           6    0.004724-0.000887333  0.00268816
           7   -0.003832   -0.001308  0.00233682
           8   -0.005614 -0.00184625  0.00210579
           9   -0.006354 -0.00234711  0.00193046
          10    0.003774   -0.001735  0.00183189
          11     -0.0051 -0.00204091   0.0016907
          12    0.005504 -0.00141217  0.00166262
          13     0.00399-0.000996615   0.0015858
          14    0.001528-0.000816286  0.00148275
          15    0.007704-0.000248267  0.00148873
          16    0.005328  0.00010025   0.0014359
          17   -0.002022-2.45882e-05  0.00135685
          18    -7.6e-05-2.74444e-05  0.00128147
          19   -0.004092-0.000241368  0.00123175
          20   -0.001994   -0.000329  0.00117328
