#   N_BLOCK:  ACCEPTANCE:
           1    0.150616
           2    0.150915
           3    0.151183
           4    0.150877
           5    0.151387
           6    0.151451
           7    0.151587
           8    0.151547
           9    0.151842
          10    0.151764
          11    0.151749
          12    0.151779
          13    0.151686
          14    0.151721
          15    0.151767
          16    0.151708
          17    0.151523
          18    0.151577
          19    0.151617
          20    0.151517
