#   N_BLOCK:  ACCEPTANCE:
           1    0.348399
           2    0.348161
           3    0.348072
           4       0.348
           5    0.347805
           6    0.347716
           7      0.3477
           8    0.347644
           9    0.347711
          10    0.347725
          11    0.347727
          12    0.347794
          13    0.347835
          14     0.34786
          15    0.347892
          16    0.347963
          17    0.347976
          18    0.347959
          19    0.347971
          20    0.347971
