#   N_BLOCK:  ACCEPTANCE:
           1    0.321324
           2    0.321254
           3    0.321276
           4    0.321479
           5     0.32126
           6    0.321115
           7    0.321081
           8    0.320889
           9    0.321178
          10    0.321125
          11    0.321015
          12    0.321011
          13     0.32102
          14    0.320986
          15    0.321036
          16    0.320969
          17     0.32096
          18    0.321068
          19    0.321082
          20    0.320899
