#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.005436    0.005436           0
           2   -0.027038   -0.010801   0.0114813
           3    0.084866    0.021088    0.027139
           4    0.006026   0.0173225   0.0206138
           5    0.004676   0.0147932   0.0166455
           6   -0.052494  0.00357867     0.01724
           7    0.046934  0.00977229   0.0158507
           8    -0.02125   0.0058945   0.0143358
           9     0.03388    0.009004   0.0130759
          10     0.00294   0.0083976   0.0117823
          11   -0.026752  0.00520218   0.0111361
          12   -0.021374   0.0029875    0.010426
          13   -0.022078  0.00105938  0.00980064
          14    -0.01597   -0.000157  0.00917576
          15   -0.000156-0.000156933  0.00856405
          16    0.004142  0.00011175  0.00803301
          17   -0.003516-0.000101647  0.00756331
          18    0.009816 0.000449333  0.00716317
          19    0.041822  0.00262684  0.00710943
          20    0.024568   0.0037239  0.00683808
