#   N_BLOCK:  ACCEPTANCE:
           1    0.231227
           2    0.231175
           3    0.231172
           4    0.231175
           5    0.231189
           6    0.231128
           7    0.231091
           8    0.231081
           9    0.231132
          10    0.231086
          11    0.231135
          12    0.231107
          13    0.231078
          14    0.231075
          15    0.231095
          16     0.23111
          17    0.231128
          18    0.231192
          19    0.231181
          20    0.231206
