#   N_BLOCK:  ACCEPTANCE:
           1    0.383755
           2    0.383785
           3    0.383948
           4    0.384107
           5     0.38402
           6    0.384076
           7    0.384016
           8    0.383925
           9    0.384044
          10    0.384085
          11    0.384125
          12    0.384156
          13    0.384027
          14    0.383973
          15    0.384007
          16    0.383926
          17    0.383843
          18    0.383846
          19    0.383846
          20     0.38376
