#   N_BLOCK:  ACCEPTANCE:
           1    0.471648
           2    0.472051
           3    0.472085
           4    0.471733
           5    0.471727
           6    0.471793
           7    0.471704
           8    0.471622
           9    0.471577
          10    0.471572
          11     0.47145
          12    0.471479
          13    0.471423
          14    0.471421
          15    0.471416
          16    0.471386
          17    0.471393
          18    0.471349
          19    0.471352
          20    0.471374
