#BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.8944      1.8944           0
           2     1.87196     1.88318   0.0079354
           3     1.90915     1.89183  0.00882901
           4     1.91396     1.89737  0.00817253
           5     1.91622     1.90114  0.00735666
           6     1.90677     1.90208  0.00619016
           7     1.89959     1.90172  0.00531599
           8      1.8881     1.90002  0.00491645
           9     1.89258     1.89919  0.00443909
          10     1.89557     1.89883   0.0040099
          11     1.92007     1.90076    0.004084
          12     1.90386     1.90102  0.00375184
          13     1.91292     1.90194  0.00357324
          14     1.90543     1.90218  0.00332669
          15     1.90261     1.90221  0.00310503
          16      1.9275     1.90379  0.00328857
          17     1.93772     1.90579  0.00365088
          18     1.90679     1.90584  0.00344848
          19     1.90123      1.9056  0.00327552
          20     1.90246     1.90544  0.00311552
