#   N_BLOCK:  ACCEPTANCE:
           1   0.0926062
           2   0.0923382
           3   0.0934526
           4   0.0936994
           5   0.0936857
           6   0.0936556
           7   0.0936075
           8   0.0933746
           9   0.0935245
          10   0.0937214
          11   0.0934914
          12   0.0935492
          13   0.0933883
          14   0.0933183
          15   0.0933112
          16   0.0932812
          17   0.0932064
          18   0.0932775
          19   0.0932843
          20   0.0932586
