#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1   -0.006228   -0.006228           0
           2     0.00245   -0.001889  0.00306814
           3    0.000288 -0.00116333  0.00212951
           4     0.00953     0.00151  0.00281263
           5   -0.001562   0.0008956  0.00231624
           6   -0.001558 0.000486667  0.00196596
           7   -0.002886 4.85714e-06  0.00174315
           8   -0.007592 -0.00094475  0.00176506
           9   -0.001502 -0.00100667  0.00157003
          10   -0.002512  -0.0011572  0.00142023
          11    -0.00341   -0.001362   0.0013058
          12     0.00083 -0.00117933  0.00120969
          13    0.000896 -0.00101969  0.00112712
          14    0.003216-0.000717143  0.00108646
          15    -0.00265   -0.000846  0.00102164
          16    -0.00099   -0.000855 0.000957829
          17   -0.003978 -0.00103871 0.000918934
          18    0.001908   -0.000875 0.000882344
          19    0.005078-0.000561684 0.000889796
          20    0.008388  -0.0001142 0.000951195
