#   N_BLOCK:  ACCEPTANCE:
           1     0.35987
           2    0.359744
           3    0.360006
           4    0.360195
           5    0.360238
           6    0.360314
           7      0.3603
           8    0.360366
           9    0.360579
          10    0.360565
          11    0.360682
          12    0.360681
          13    0.360573
          14    0.360599
          15    0.360617
          16    0.360523
          17    0.360488
          18    0.360519
          19     0.36052
          20    0.360416
