#   N_BLOCK:  ACCEPTANCE:
           1    0.466329
           2    0.466925
           3    0.466919
           4    0.466654
           5    0.466753
           6    0.466887
           7    0.466851
           8    0.466789
           9     0.46674
          10    0.466782
          11    0.466687
          12    0.466731
          13    0.466704
          14    0.466695
          15    0.466702
          16    0.466674
          17     0.46669
          18    0.466664
          19    0.466699
          20    0.466686
