#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.251207    0.251207           0
           2    0.250274    0.250741 0.000329832
           3    0.250344    0.250608 0.000244945
           4    0.249557    0.250345 0.000292559
           5    0.251505    0.250577 0.000312757
           6    0.251764    0.250775  0.00031709
           7    0.252979     0.25109 0.000398491
           8    0.250284    0.250989 0.000361199
           9     0.25151    0.251047  0.00032567
          10    0.252853    0.251228 0.000339484
          11    0.251099    0.251216 0.000308824
          12    0.251341    0.251226 0.000283263
          13     0.25297     0.25136   0.0002915
          14    0.250728    0.251315 0.000274157
          15    0.250751    0.251278 0.000258446
          16    0.249903    0.251192 0.000256169
          17     0.25124    0.251195 0.000241116
          18    0.249324    0.251091 0.000249121
          19      0.2512    0.251096 0.000236076
          20    0.251695    0.251126 0.000226158
