#BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.145043    0.145043           0
           2    0.155506    0.150275   0.0036993
           3    0.151847    0.150799  0.00250304
           4    0.134472    0.146717  0.00400234
           5    0.153659    0.148106  0.00343426
           6    0.144229     0.14746  0.00292202
           7    0.137878    0.146091  0.00280696
           8    0.146759    0.146174  0.00245733
           9    0.158012     0.14749  0.00251179
          10    0.148036    0.147544   0.0022612
          11    0.142948    0.147126  0.00209389
          12    0.125049    0.145287  0.00260516
          13    0.128719    0.144012  0.00269854
          14     0.14286     0.14393  0.00250704
          15    0.151494    0.144434  0.00239008
          16    0.142976    0.144343  0.00224244
          17    0.134985    0.143793  0.00217704
          18    0.156976    0.144525   0.0021758
          19    0.153351    0.144989  0.00211029
          20    0.144942    0.144987  0.00200478
