#BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.227291    0.227291           0
           2    0.226177    0.226734 0.000393844
           3    0.228698    0.227389 0.000595625
           4     0.22618    0.227087 0.000517743
           5    0.226162    0.226902 0.000445981
           6    0.225662    0.226695 0.000416801
           7    0.233043    0.227602 0.000912442
           8    0.230733    0.227993 0.000878303
           9    0.229247    0.228133 0.000791677
          10    0.223724    0.227692 0.000826199
          11    0.228288    0.227746 0.000752865
          12    0.222577    0.227315 0.000803953
          13    0.223622    0.227031 0.000790702
          14    0.227954    0.227097 0.000736966
          15    0.225833    0.227013 0.000692637
          16    0.230914    0.227257 0.000690942
          17    0.229321    0.227378 0.000660886
          18    0.224032    0.227192 0.000649784
          19    0.226331    0.227147 0.000617162
          20     0.23369    0.227474 0.000667415
