#   N_BLOCK:  ACCEPTANCE:
           1    0.497963
           2    0.497827
           3    0.497879
           4    0.497907
           5    0.497974
           6    0.497956
           7    0.497782
           8    0.497804
           9    0.497889
          10    0.497936
          11    0.497833
          12    0.497844
          13    0.497832
          14    0.497758
          15    0.497783
          16    0.497773
          17    0.497752
          18    0.497767
          19    0.497794
          20     0.49783
